Product_ID,Product_Name,Brand_Name,Claim_Text,Visual_Cues_Score,Hazard_Codes,Eco_Keyword_Count,EPA_Safer_Choice,Target_Label
P001,"EcoPure EcoPure Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",EcoPure,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: ORGANIC, BIODEGRADABLE, GREEN, ECO-FRIENDLY | SUSTAINABLE | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.0,H319,6,0,Greenwashed
P002,"ACCO Brands Corporation ACCO Brands Corporation Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",ACCO,"ECO-FRIENDLY FORMULA: DEGREASER: SUSTAINABLE, BIODEGRADABLE | PLANT-BASED | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",0.7,None,5,1,Verified
P003,"Biosolutions, LLC Biosolutions, LLC Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution","Biosolutions,","ECO-FRIENDLY FORMULA: DISH SOAP: PLANT-BASED, NON-TOXIC | ECO-FRIENDLY | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,None,3,1,Verified
P004,"Bullen Companies Bullen Companies Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",Bullen,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: ORGANIC, NON-TOXIC | BIODEGRADABLE | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,5,1,Verified
P005,"EcoPure EcoPure All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",EcoPure,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: BIODEGRADABLE, ECO-FRIENDLY, NON-TOXIC, GREEN, ORGANIC, NATURAL | PLANT-BASED | HIGHLY EFFECTIVE. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",0.0,H319,8,0,Greenwashed
P006,"AquaPure AquaPure Laundry Detergent - 32oz Spray Bottle, Powerful Cleaning Solution",AquaPure,"ECO-FRIENDLY FORMULA: LAUNDRY DETERGENT: ECO-FRIENDLY, EARTH-FRIENDLY, NON-TOXIC | ORGANIC | HIGHLY EFFECTIVE. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",1.0,H319,5,0,Greenwashed
P007,"BioShield BioShield Degreaser - 32oz Spray Bottle, Powerful Cleaning Solution",BioShield,"ECO-FRIENDLY FORMULA: DEGREASER: BIO-BASED, BIODEGRADABLE, SUSTAINABLE | ORGANIC | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | POWERFUL CLEANING: Tackles tough grease and grime without harsh chemical fumes.",0.7,H319,6,0,Greenwashed
P008,"AquaPure AquaPure All-Purpose Cleaner - 32oz Spray Bottle, Powerful Cleaning Solution",AquaPure,"ECO-FRIENDLY FORMULA: ALL-PURPOSE CLEANER: SUSTAINABLE, NATURAL, NON-TOXIC, GREEN, BIO-BASED | BIODEGRADABLE | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets.",1.0,H319,7,0,Greenwashed
P009,"Bioneat Bioneat Dish Soap - 32oz Spray Bottle, Powerful Cleaning Solution",Bioneat,"ECO-FRIENDLY FORMULA: DISH SOAP: EARTH-FRIENDLY, PLANT-BASED, GREEN, ORGANIC | BIO-BASED | HIGHLY EFFECTIVE. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces.",1.0,None,8,1,Verified
P010,"Brighton USA Brighton USA Disinfectant Spray - 32oz Spray Bottle, Powerful Cleaning Solution",Brighton,"ECO-FRIENDLY FORMULA: DISINFECTANT SPRAY: GREEN, PLANT-BASED, BIODEGRADABLE, BIO-BASED | ORGANIC | HIGHLY EFFECTIVE. | SAFE FOR THE WHOLE FAMILY: Non-toxic and safe for use around children and pets. | MULTI-SURFACE USE: Perfect for kitchens, bathrooms, and all hard surfaces. | SUSTAINABLE PACKAGING: 100% recyclable bottle made from ocean-bound plastic.",1.0,None,8,1,Verified
